system_name,MAP@5,MAP@10,MAP@20,MAP@50,MAP@100,MAP@1000
CL99XTopt,0.8007105943152455,0.6960289255619944,0.632664454408448,0.5276223556992699,0.4638521328001175,0.31537467103138705
Flab8at,0.8039236111111112,0.6922524040480389,0.6306616091984503,0.5411211245181181,0.47721223023990017,0.35350124170447167
GE8ATDN2,0.7826704545454547,0.7067196222110244,0.6477387638788343,0.5553052795681058,0.48408605791833514,0.337818999922892
INQ602,0.8237466124661246,0.7046048087959463,0.6217369662783795,0.54754387749549,0.479530828757789,0.3164414295559832
Mer8Adtd4,0.7582742316784871,0.6934850640936648,0.6171842001707524,0.5350903235195005,0.4722514072092191,0.34869641023421943
acsys8alo2,0.7567411924119241,0.6900129050738462,0.5752569930096942,0.48275582496013986,0.42547660952484867,0.32422017661478386
apl8c621,0.8388550135501355,0.749778940195607,0.6369433785707013,0.551510225205933,0.47418678042935386,0.3557320969671824
att99ate,0.8666666666666666,0.8423178742396429,0.8014334620147997,0.6821126914421369,0.6023367448010669,0.45582108204404825
fub99td,0.7764219576719578,0.6995962960099864,0.5758667597011902,0.5029651811217097,0.4553660319879701,0.3344200946637361
ibms99c,0.8741545893719808,0.8453719039950923,0.7522331180172704,0.6477171224990386,0.5626956875981538,0.38557976762595236
isa50t,0.791141975308642,0.694954143308558,0.6138093694059817,0.5244317556106788,0.47172698968196747,0.30539640749341357
mds08a2,0.9016203703703703,0.859727717282901,0.8009674171951061,0.7092040351237864,0.6482992354998102,0.5206201280513956
nttd8alx,0.6775516795865634,0.6247967232160354,0.5270670865769377,0.4392550494631864,0.3949741835297674,0.2916444323573396
orcl99man,0.7253125,0.6883603320075826,0.5965031733910945,0.5134706703737273,0.4573218054141419,0.3411597215726175
plt8ah1,0.8358796296296296,0.7521192795299938,0.68355662558219,0.5669779098823243,0.5133666329370504,0.3763293660080307
